Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1992","1992","tonnes","776","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1993","1993","tonnes","807","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1994","1994","tonnes","921","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1995","1995","tonnes","883","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1996","1996","tonnes","1330","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1997","1997","tonnes","1044","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1998","1998","tonnes","1174","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","1999","1999","tonnes","1294","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2000","2000","tonnes","1099","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2001","2001","tonnes","1217","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2002","2002","tonnes","1015","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2003","2003","tonnes","1261","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2004","2004","tonnes","1825","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2005","2005","tonnes","1915","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2006","2006","tonnes","2030","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2007","2007","tonnes","2107","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2008","2008","tonnes","1902","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2009","2009","tonnes","2160","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2010","2010","tonnes","3061","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2011","2011","tonnes","2995","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2012","2012","tonnes","2762","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2013","2013","tonnes","3422","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2014","2014","tonnes","4410.7","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2015","2015","tonnes","5802.31","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2016","2016","tonnes","7679.64","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2017","2017","tonnes","8294.43","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2018","2018","tonnes","10060.59","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2019","2019","tonnes","10581.9","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2020","2020","tonnes","12519.16","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01311","Avocados","2021","2021","tonnes","12995.34","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1961","1961","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1962","1962","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1963","1963","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1964","1964","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1965","1965","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1966","1966","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1967","1967","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1968","1968","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1969","1969","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1970","1970","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1971","1971","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1972","1972","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1973","1973","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1974","1974","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1975","1975","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1976","1976","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1977","1977","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1978","1978","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1979","1979","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1980","1980","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1981","1981","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1982","1982","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1983","1983","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1984","1984","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1985","1985","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1986","1986","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1987","1987","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1988","1988","1000 US$","1013","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1989","1989","1000 US$","975","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1990","1990","1000 US$","1206","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1991","1991","1000 US$","1273","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1992","1992","1000 US$","1383","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1993","1993","1000 US$","1352","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1994","1994","1000 US$","1526","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1995","1995","1000 US$","1400","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1996","1996","1000 US$","1701","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1997","1997","1000 US$","1334","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1998","1998","1000 US$","1540","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","1999","1999","1000 US$","1975","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2000","2000","1000 US$","1327","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2001","2001","1000 US$","1688","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2002","2002","1000 US$","1386","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2003","2003","1000 US$","2454","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2004","2004","1000 US$","2814","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2005","2005","1000 US$","2894","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2006","2006","1000 US$","3966","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2007","2007","1000 US$","3883","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2008","2008","1000 US$","5010","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2009","2009","1000 US$","5292","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2010","2010","1000 US$","6900","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2011","2011","1000 US$","9375","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2012","2012","1000 US$","8641","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2013","2013","1000 US$","11173","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2014","2014","1000 US$","14234","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","01311","Avocados","2015","2015","1000 US$","17629","A","Official figure"
